position,material
0.15625,water
0.3125,water
0.46875,mox
0.625,mox
0.78125,mox
0.9375,mox
1.09375,water
1.25,water
1.40625,water
1.5625,water
1.71875,mox
1.875,mox
2.03125,mox
2.1875,mox
2.34375,water
2.5,water
2.65625,water
2.8125,water
2.96875,mox
3.125,mox
3.28125,mox
3.4375,mox
3.59375,water
3.75,water
3.90625,water
4.0625,water
4.21875,mox
4.375,mox
4.53125,mox
4.6875,mox
4.84375,water
5,water
5.15625,water
5.3125,water
5.46875,mox
5.625,mox
5.78125,mox
5.9375,mox
6.09375,water
6.25,water
6.40625,water
6.5625,water
6.71875,mox
6.875,mox
7.03125,mox
7.1875,mox
7.34375,water
7.5,water
7.65625,water
7.8125,water
7.96875,mox
8.125,mox
8.28125,mox
8.4375,mox
8.59375,water
8.75,water
8.90625,water
9.0625,water
9.21875,mox
9.375,mox
9.53125,mox
9.6875,mox
9.84375,water
10,water
10.15625,water
10.3125,water
10.46875,u
10.625,u
10.78125,u
10.9375,u
11.09375,water
11.25,water
11.40625,water
11.5625,water
11.71875,u
11.875,u
12.03125,u
12.1875,u
12.34375,water
12.5,water
12.65625,water
12.8125,water
12.96875,u
13.125,u
13.28125,u
13.4375,u
13.59375,water
13.75,water
13.90625,water
14.0625,water
14.21875,u
14.375,u
14.53125,u
14.6875,u
14.84375,water
15,water
15.15625,water
15.3125,water
15.46875,u
15.625,u
15.78125,u
15.9375,u
16.09375,water
16.25,water
16.40625,water
16.5625,water
16.71875,u
16.875,u
17.03125,u
17.1875,u
17.34375,water
17.5,water
17.65625,water
17.8125,water
17.96875,u
18.125,u
18.28125,u
18.4375,u
18.59375,water
18.75,water
18.90625,water
19.0625,water
19.21875,u
19.375,u
19.53125,u
19.6875,u
19.84375,water
20,water
